env.action_space is [Discrete(5), Discrete(5)] 
env.observation_space is [Box(8,), Box(19,)] 
obs_shape_n is [(8,), (19,)] 
Using good policy maddpg and adv policy maddpg
[Discrete(8), Discrete(19)]
Using noise policy maddpg
There is 2 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -26.392265209519824, agent episode reward: [2.607778130054238, -29.000043339574066], time: 63.246
steps: 49975, episodes: 2000, mean episode reward: -24.975967636197463, agent episode reward: [1.4581624907701043, -26.434130126967567], time: 78.834
steps: 74975, episodes: 3000, mean episode reward: -18.840524140348066, agent episode reward: [2.992006155185889, -21.832530295533957], time: 77.96
steps: 99975, episodes: 4000, mean episode reward: -19.35020852887733, agent episode reward: [2.152008986405068, -21.5022175152824], time: 78.299
steps: 124975, episodes: 5000, mean episode reward: -19.248425979436526, agent episode reward: [1.7795323630841609, -21.027958342520684], time: 78.141
steps: 149975, episodes: 6000, mean episode reward: -19.236512599902525, agent episode reward: [1.8860939909027707, -21.122606590805297], time: 78.699
steps: 174975, episodes: 7000, mean episode reward: -19.621285202601285, agent episode reward: [0.9409502089127324, -20.56223541151402], time: 78.071
steps: 199975, episodes: 8000, mean episode reward: -19.427169327237273, agent episode reward: [1.9214914254367736, -21.348660752674046], time: 78.276
steps: 224975, episodes: 9000, mean episode reward: -19.57556218086122, agent episode reward: [0.9306168297883652, -20.506179010649582], time: 78.242
steps: 249975, episodes: 10000, mean episode reward: -19.1102401966316, agent episode reward: [2.0566315915619255, -21.166871788193525], time: 78.252
steps: 274975, episodes: 11000, mean episode reward: -19.69910816454998, agent episode reward: [0.9912493071256426, -20.690357471675622], time: 78.443
steps: 299975, episodes: 12000, mean episode reward: -19.275512791444847, agent episode reward: [1.7261880443144353, -21.001700835759284], time: 78.58
steps: 324975, episodes: 13000, mean episode reward: -19.386396167691384, agent episode reward: [0.8589904398056712, -20.245386607497057], time: 78.959
steps: 349975, episodes: 14000, mean episode reward: -19.41767771120499, agent episode reward: [1.007801836740042, -20.425479547945027], time: 79.033
steps: 374975, episodes: 15000, mean episode reward: -19.529135153173765, agent episode reward: [0.7324019966872254, -20.26153714986099], time: 78.685
steps: 399975, episodes: 16000, mean episode reward: -19.72832318882885, agent episode reward: [0.9933064302865184, -20.721629619115365], time: 78.31
steps: 424975, episodes: 17000, mean episode reward: -19.376979868879083, agent episode reward: [1.8899688429243264, -21.26694871180341], time: 78.604
steps: 449975, episodes: 18000, mean episode reward: -19.537312134007742, agent episode reward: [2.044272517775758, -21.5815846517835], time: 79.253
steps: 474975, episodes: 19000, mean episode reward: -19.27318419265646, agent episode reward: [2.1008279743920677, -21.374012167048523], time: 79.312
